number,title,classification,year,date,latitude,longitude,magnitude,data
679,Report 679: Marine had late night sighting on military base in Quantico,Infected,2010,07-Jan,38.52019,-77.36115,5,"""0"",""3.681984594376276""
""1"",""0.6711592760078455""
""2"",""4.46598662746451""
""3"",""2.1101454994111""
""4"",""4.122511673556184""
""5"",""0.5611748853805398""
""6"",""1.9572861611786152""
""7"",""1.7344606565154075""
""8"",""1.4553882321564715""
""9"",""9.525737063169558""
""10"",""9.81918982197077""
""11"",""3.364564126145486""
""12"",""7.901881023360849""
""13"",""4.471054522989647""
""14"",""3.271912252801572""
""15"",""5.703709488566163""
""16"",""0.7674266867651569""
""17"",""6.910547153600209""
""18"",""1.5167554024051833""
""19"",""2.0327552437884155""
""20"",""9.62268504804409""
""21"",""4.84413957486685""
""22"",""5.4270189843815855""
""23"",""0.8613773133042113""
""24"",""1.16179342118645""
""25"",""4.381483634651358""
""26"",""2.8094535739661""
""27"",""2.077148129138532""
""28"",""5.872648860896418""
""29"",""0.42215778417420524""
""30"",""0.5126863119125158""
""31"",""0.2736954372357381""
""32"",""6.952876739442408""
""33"",""2.082847822970365""
""34"",""7.239123945668858""
""35"",""2.847354220988312""
""36"",""7.266463197370621""
""37"",""6.500965294421067""
""38"",""9.559417956083475""
""39"",""2.922436535528632""
""40"",""4.559867382537655""
""41"",""4.146107435037312""
""42"",""6.333654640696384""
""43"",""6.1984385200556815""
""44"",""8.642748799882739""
""45"",""9.835227492867876""
""46"",""3.5110117854439116""
""47"",""6.408209289129956""
""48"",""6.787279370891298""
""49"",""6.2743247093536025""
""50"",""2.109699081031975""
""51"",""6.234316089018734""
""52"",""5.211335253951285""
""53"",""1.138924306157978""
""54"",""7.071579029883573""
""55"",""9.2515312430337""
""56"",""5.184690982619683""
""57"",""4.457568290544297""
""58"",""3.640946658276789""
""59"",""3.7465811706598586""
""60"",""2.033669975349892""
""61"",""0.37699254189183073""
""62"",""0.9345176771086783""
""63"",""1.1119930847728465""
""64"",""4.118526354343154""
""65"",""6.26461567626211""
""66"",""9.449756983296583""
""67"",""9.91908258885457""
""68"",""6.71917204212006""
""69"",""2.5434207383314478""
""70"",""0.40125974716323953""
""71"",""1.745825344288452""
""72"",""2.688681390130717""
""73"",""8.656265134974463""
""74"",""9.979969381746036""
""75"",""6.368561071544194""
""76"",""7.720337406905038""
""77"",""4.121103379002358""
""78"",""0.897599213287178""
""79"",""2.0221818318368765""
""80"",""3.1228140927267467""
""81"",""8.765564268050518""
""82"",""6.908703810120322""
""83"",""1.0916565724922533""
""84"",""3.1094135362128372""
""85"",""2.9187738831886656""
""86"",""3.395416911398933""
""87"",""2.8184511876168883""
""88"",""6.781106653458111""
""89"",""6.5902722615844755""
""90"",""8.554962698713908""
""91"",""2.388601603492746""
""92"",""7.219454258900288""
""93"",""6.480322260513001""
""94"",""5.24761226123223""
""95"",""0.11490810306293509""
""96"",""1.4043141250536384""
""97"",""1.0428632248894665""
""98"",""3.1428463943633433""
""99"",""5.333910516475296"""
2364,Report 2364: Two teenage boys encounter a white ape-like animal,Infected,2011,Dec-31,36.7999,-83.66641,5,"""0"",""3.681984594376276""
""1"",""0.6711592760078455""
""2"",""4.46598662746451""
""3"",""2.1101454994111""
""4"",""4.122511673556184""
""5"",""0.5611748853805398""
""6"",""1.9572861611786152""
""7"",""1.7344606565154075""
""8"",""1.4553882321564715""
""9"",""9.525737063169558""
""10"",""9.81918982197077""
""11"",""3.364564126145486""
""12"",""7.901881023360849""
""13"",""4.471054522989647""
""14"",""3.271912252801572""
""15"",""5.703709488566163""
""16"",""0.7674266867651569""
""17"",""6.910547153600209""
""18"",""1.5167554024051833""
""19"",""2.0327552437884155""
""20"",""9.62268504804409""
""21"",""4.84413957486685""
""22"",""5.4270189843815855""
""23"",""0.8613773133042113""
""24"",""1.16179342118645""
""25"",""4.381483634651358""
""26"",""2.8094535739661""
""27"",""2.077148129138532""
""28"",""5.872648860896418""
""29"",""0.42215778417420524""
""30"",""0.5126863119125158""
""31"",""0.2736954372357381""
""32"",""6.952876739442408""
""33"",""2.082847822970365""
""34"",""7.239123945668858""
""35"",""2.847354220988312""
""36"",""7.266463197370621""
""37"",""6.500965294421067""
""38"",""9.559417956083475""
""39"",""2.922436535528632""
""40"",""4.559867382537655""
""41"",""4.146107435037312""
""42"",""6.333654640696384""
""43"",""6.1984385200556815""
""44"",""8.642748799882739""
""45"",""9.835227492867876""
""46"",""3.5110117854439116""
""47"",""6.408209289129956""
""48"",""6.787279370891298""
""49"",""6.2743247093536025""
""50"",""2.109699081031975""
""51"",""6.234316089018734""
""52"",""5.211335253951285""
""53"",""1.138924306157978""
""54"",""7.071579029883573""
""55"",""9.2515312430337""
""56"",""5.184690982619683""
""57"",""4.457568290544297""
""58"",""3.640946658276789""
""59"",""3.7465811706598586""
""60"",""2.033669975349892""
""61"",""0.37699254189183073""
""62"",""0.9345176771086783""
""63"",""1.1119930847728465""
""64"",""4.118526354343154""
""65"",""6.26461567626211""
""66"",""9.449756983296583""
""67"",""9.91908258885457""
""68"",""6.71917204212006""
""69"",""2.5434207383314478""
""70"",""0.40125974716323953""
""71"",""1.745825344288452""
""72"",""2.688681390130717""
""73"",""8.656265134974463""
""74"",""9.979969381746036""
""75"",""6.368561071544194""
""76"",""7.720337406905038""
""77"",""4.121103379002358""
""78"",""0.897599213287178""
""79"",""2.0221818318368765""
""80"",""3.1228140927267467""
""81"",""8.765564268050518""
""82"",""6.908703810120322""
""83"",""1.0916565724922533""
""84"",""3.1094135362128372""
""85"",""2.9187738831886656""
""86"",""3.395416911398933""
""87"",""2.8184511876168883""
""88"",""6.781106653458111""
""89"",""6.5902722615844755""
""90"",""8.554962698713908""
""91"",""2.388601603492746""
""92"",""7.219454258900288""
""93"",""6.480322260513001""
""94"",""5.24761226123223""
""95"",""0.11490810306293509""
""96"",""1.4043141250536384""
""97"",""1.0428632248894665""
""98"",""3.1428463943633433""
""99"",""5.333910516475296"""
7425,Report 7425: A Teenager and His Dog Encounter an Ape-like Creature While Retrieving Their Trap Lines,Infected,2011,11-Jan,40.92276,-82.44401,5,
1670,"Report 1670: Large footprint find, large creature witnessed by a school bus driver",Infected,2011,May-14,48.2475,-121.9425,5,
16691,Report 16691: Man describes possible sighting during childhood in Hinkley Basin,Not Infected,2011,Apr-15,37.055,-121.845,5,
25670,Report 25670: Possible tracks found crossing field of snow 50 years ago in the City of Thunder Bay,Not Infected,2011,12-Jan,48.3766,-89.30945,5,
8086,"Report 8086: A series of large, human-like footprints are found on a farm near Wayne National Forest",Not Infected,2011,Jan-15,39.63382,-81.40079,5,
7211,Report 7211: Hunters Have Unusual Night Time Encounter,Not Infected,2019,10-Jan,39.08,-121.42,5,
30135,Report 30135: Man recalls encounter with 7 foot tall creature on grandparents farm,Infected,2001,11-Apr,32.96854,-85.02602,5,
1330,Report 1330: Motorist's sighting results in a collision.,Infected,2001,01-Jan,39.33292,-95.84024,5,
15610,Report 15610: Children see creature emerging from abandoned barn near Caruthersville.,Infected,2001,Aug-15,36.00565,-89.67815,5,
1495,Report 1495: Man and wife in car see a sasquatch eating frogs on the road,Infected,2001,Jul-18,47.1305,-123.0966,5,
29549,Report 29549: Memory told of a possible daylight sighting while driving deer on a farm east of Iron River,Not Infected,2001,Oct-31,46.10294,-88.45181,5,
3582,"Report 3582: Hunters hear vocalization in a hollow off Route 2, near Lesage",Not Infected,2001,Nov-15,38.5464,-82.25949,5,
7234,Report 7234: Daylight sighting by two sisters near their farm in the early 2001s,Infected,2002,Oct-15,34.88111,-91.08056,5,
6097,Report 6097: Man describes childhood sighting at rural property on the outskirts of Atlanta,Infected,2002,09-Jan,33.70037,-84.53352,5,
26962,Report 26962: Childhood face to face encounter at dusk in the river bottoms of Bootheel,Infected,2002,Oct-15,36.06055,-89.98725,5,
12951,"Report 12951: Possible encounter between a juvenile and a human child, near Gettysburg",Infected,2002,07-Jan,39.76366,-77.27178,5,
38547,Report 38547: Medical doctor recalls his daylight sighting as a teenager near Huntington,Infected,2002,Jun-15,38.35806,-82.43855,5,
5232,Report 5232: Hunters have unusual late night experience near Willow Creek,Not Infected,2002,04-Jan,40.94083,-123.6283,5,
28678,Report 28678: Man recalls a possible up-close nighttime encounter on Gilchrist Island,Not Infected,2002,Mar-18,28.90854,-82.34611,5,
23531,"Report 23531: Woman tells of her husband's close encounter as a young man with ""The Hermit""  near Huntsville",Not Infected,2002,11-Nov,30.812,-95.75645,5,
1691,Report 1691: Tracks found in deep snow,Not Infected,2002,Dec-28,47.92528,-117.1153,5,
25009,"Report 25009: Youngsters encounter large, grey creature in a sugar beet field",Infected,2007,Aug-14,37.475,-121.07,5,
445,Report 445: Boy Scouts have sighting while camping at Quednau Ranch,Infected,2007,Aug-15,27.0047,-82.0332,5,
24238,Report 24238: Man recalls multi-witness sighting in teen years near Manistique,Infected,2007,04-Jan,45.964,-86.1437,5,
3651,"Report 3651: Sighting in the Audubon wildlife preserve, outside Aurora",Infected,2007,06-Jun,41.30265,-81.30896,5,
9962,Report 9962: Daylight sighting off Highway 89 in the Wasatch Mountains.,Infected,2007,05-Jan,41.5,-111.75,5,
30089,Report 30089: Memory told of a possible encounter while deer hunting east of Manistee,Not Infected,2007,Nov-15,44.1708,-86.10335,5,
6961,Report 6961: Teen has daytime sighting near Myers Flat,Infected,2004,08-Jan,40.26639,-123.8692,5,
41995,Report 41995: Memory told of a close encounter with a man-ape outside Gainesville,Infected,2004,Sep-15,29.67757,-82.35501,5,
8405,Report 8405: Early evening road crossing sighting by motorist on Jekyll Island,Infected,2004,07-Apr,31.08925,-81.41267,5,
5720,Report 5720: Night time rabbit hunters spotlight 7' tall biped leaping over 4' sagebrush as it escapes from view,Infected,2004,Jun-15,42.79166,-116.25,5,
7026,Report 7026: Three teenage boys witness an ape-like creature lope across a field into the woods,Infected,2004,07-Jan,40.85035,-82.29486,5,
9546,Report 9546: Teens chased by upright running animal near Bradford,Infected,2004,10-Jan,41.9548,-78.65621,5,
1953,Report 1953: Deputy Sheriff sees strange footprints above Strawberry,Not Infected,2004,12-Jan,38.23243,-119.984,5,
2309,Report 2309: 10-Ft. Shrieking Monster reported near Cold Springs,Not Infected,2004,Jan-27,38.1625,-120.0522,5,
2310,Report 2310: Large prints found below Cold Springs,Not Infected,2004,Jan-28,38.1625,-120.0522,5,
7785,Report 7785: Family in small boat hears animal retreating and finds prints,Not Infected,2004,Jul-15,43.8628,-121.8829,5,
31992,Report 31992: Man recalls his nighttime roadside sighting near Markdale,Infected,2005,Jun-15,44.30352,-80.66389,5,
15273,Report 15273: Young picnicker sees strange creature on rocky ledge above the St. Vrain River,Infected,2005,08-Jan,40.17585,-105.3792,5,
30367,Report 30367: Memories told of encounters experienced by a family living near Villa Grove,Infected,2005,11-Jul,39.8213,-88.1676,5,
4141,"Report 4141: Witness spots a large, dark, hairy creature standing 50 yards away",Infected,2005,Apr-15,30.73861,-94.89778,5,
6962,Report 6962: Friends hear late night scream near Garberville,Not Infected,2005,11-Jan,40.20556,-123.4908,5,
2553,"Report 2553: Bowhunter and wife abandon deer when threatened by large, unseen animal",Not Infected,2005,Aug-30,38.90833,-107.575,5,
5381,Report 5381: Solider describes late night encounter on Fort Jackson,Not Infected,2005,10-Oct,34.0431,-80.80685,5,
2396,Report 2396: Tall creature seen by witness,Not Infected,2005,Jun-30,32.26889,-96.69583,5,
28095,Report 28095: Man recalls possible encounter at a family cabin in Big Cottonwood Canyon outside Salt Lake City,Not Infected,2005,08-Jan,40.60779,-111.6508,5,
6963,Report 6963: Teens have unusual experience near Myers Flat,Infected,2004,07-Jan,40.26639,-123.8692,5,
9202,Report 9202: Man remembers childhood daytime sighting along the Feather River,Infected,2004,07-Jan,39.205,-121.58,5,
5172,Report 5172: Multi-witness road-crossing sighting outside Fort St.John,Infected,2004,Oct-20,56.3321,-121.3324,5,
21795,Report 21795: Childhood incidents in Manitoba,Infected,2004,Jul-15,50.91725,-100.9129,5,
5652,Report 5652: Apelike creature seen by children on a sand dune near Caseville,Infected,2004,Jul-15,43.94111,-83.27139,5,
20002,Report 20002: Afternoon highway crossing near Felch,Infected,2004,07-Jan,46.01398,-87.98718,5,
